プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,ならず者ディーター,村人,赤い帽子の人間だろ?今流行ってるらしいぜ。俺はもともと神が赤いから問題ないけどな。
プロローグ,青年ヨアヒム,狂人,なんだよーこのキノコっ目からビームが出るー！！！
プロローグ,青年ヨアヒム,狂人,ハァハァ･･･とりあえず議題だ･･･■1.20時～24時ぐらい。■2.22時／22時30分■3.統一占い？作戦ってほどでもないか。□4.なんで男しかいないんだよおぉお！女の子かもーーーーんっっ
プロローグ,村長ヴァルター,村人,ならず者>>20神はどちらかと言うと青だと思うんだ。左手に持ってる聖書は赤いけど。
プロローグ,ならず者ディーター,村人,すまん。誤爆だ。「髪」だな。お･･･酔ってるのか俺･･･。
プロローグ,青年ヨアヒム,狂人,なかなか集まらないね。みんな忙しいのかなぁ。女性陣はクリスマスの準備に大忙しだったりするのかも。
プロローグ,負傷兵シモン,狩人,クーリスマスは今年は中止しまーす♪(今年もやってくる～♪のメロディで)
プロローグ,パン屋オットー,村人,クリスマスケーキを作ってみたんだ。みんなどうかい？
プロローグ,パン屋オットー,村人,回覧板に答えておくよ■1.夕方～夜かな。日によってまちまち。■2.おまかせ■3.投票COとか？□4.クリスマスとはパン屋にとっては売り時なんだ！ここを逃しては…逃してはっ！
プロローグ,少女リーザ,占い師,くーりすーますーがーやーってくるー♪てんいんさんはクリスマスきらいなのー？何で？リズは好きだよ。だってプレゼントがもらえるもん。
プロローグ,少女リーザ,占い師,■1.21時〜23時くらいと夜明け前後にはかならずいるよー。あとはてきとーに、これそうだったら来るよ。おそくまでおきてるとママにおこられちゃうから、深夜にはいないよ。■2.仮22:00 本22:30くらいかな？■3.とくにないよー□4.メリー！クリスマース！(じごくであおうぜ！)・・・あ、これね。このあいだよんだ本にかいてあったのー。
プロローグ,青年ヨアヒム,狂人,おはようっ今日も寒いね。ついに女の子キター！クリスマスケーキいただきます。やっぱりクリスマスは良いものかもしれないね。後でオットーのパン屋さんに買い物に行こうかな。
プロローグ,行商人アルビン,村人,おー人が増えてる。オットー、リーザ、ヨアヒム、おはよう！クリスマスケーキもらうよー。ぱくぱく。おいしいなー。よし、今日はオットーのパンに合う食材仕入れてくるねー。
プロローグ,少女リーザ,占い師,オットーさんにヨアヒムお兄ちゃん、それとアルビンおじちゃんおはよう。朝からケーキかあ・・・本当はだめだけど、せっかくだしいただきまーす。えっと、さいていでもあと1人来るのをまつんだよね？だれがくるのかなあ。
プロローグ,神父ジムゾン,人狼,おはようございます・・・はっ！少女が！とうとうこの村初の女性が。リーザさん、おはようございます。あなたの存在はこの村の光となりますね。・・・でもボクは、ボクはやっぱり、クリスマスなんてきらいどわぁああああああ！・・・・ケーキはいただきますが（もぐもぐ）。このケーキ美味しいですね。上に兎の飾りをつけてお正月用だと言い聞かせて食べてます（もぐもぐ）。
プロローグ,少女リーザ,占い師,てんいんさん、おはよう。ひかり・・・？リズひかってるの？ツリーのかざりみたいに？おもしろい事言うんだね。あと、やっぱりクリスマスきらいなの？お正月だなんて言わないで、いっしょに楽しもうよ。ね、いいでしょ？
プロローグ,青年ヨアヒム,狂人,リーザはあいかわらず抱きしめたくなるかわいさだ！！もっとお兄ちゃんって呼んでくれっリーザ、なんならクリスマス嫌いなみんなは放っておいて僕とふたりだけのクリスマスをすごさないかい？プレゼント何でも買ってあげる！
プロローグ,行商人アルビン,村人,リーザ来た！女の子来たよーと思ったらアルビン「おじちゃん」て、おじちゃん、おじちゃん･･･（エコーヨアヒムはお兄ちゃんて呼んでもらってるのに。ううう（泣）今日はシチュー作るよ。リーザへのお土産は髪に結ぶ緑色のリボンね。何でも買ってあげるとか言ってるお兄ちゃんに付いて行っちゃだめだよー。夜明けが来ますようにー。
プロローグ,少女リーザ,占い師,>>ヨアヒムお兄ちゃん何でも買ってくれるって本当？うれしいけど、ママから「何でも買ってくれるなんて怪しい事を言う男の人を信用しちゃ駄目ですよ」って言われてるからちょっとむりなんだあ・・・>>アルビンおじちゃんおみやげありがとう！このリボンかわいいなー。そうだ、あとでみんなにちょっとはやいクリスマスプレゼントをおくるね。
プロローグ,パン屋オットー,村人,●RECロリコン達の興奮を録画中そう言えば挨拶を忘れていたね。みんなよろしくね。ジムゾン、あそこに有るのは、ツリーじゃない。光る門松だよ。
プロローグ,少女リーザ,占い師,あ、オットーさんこんにちは。ねえねえ、なにをろくがしてるのー？リズにも見せてー・・・え？かどまつ？ツリーもちょっとはやいけど、かどまつはもっとはやいよ？
プロローグ,パン屋オットー,村人,（この村の決着が着く頃には、世間はもうクリスマス、僕ケーキ作りでリアル修羅場…ははっ♪）え？撮ってるのはリーザとヨアヒムが遊んでる所と、あと隅っこのジムゾンとアルビンぐらいだよ。世間には、光る門松とも思わないと生きていけない可哀想な人達がいるんだ。ケーキは、飾り付けられた鏡餅って思うんだよ。そしてカップルは…見えないんだ、彼らには。
プロローグ,少女リーザ,占い師,リズたちのこととってたの？えへへ、ちょっとてれるな。ろくがおわったら見せてね。ひかるかどまつは見える人と見えない人がいるのかあ。リズは見えないなあ。おとなになったらみれるのかな・・・あ、ママがよんでる。ちょっとだけママのところにいってくるね。夜にはかえってくるから。
プロローグ,司書クララ,村人,[壁]_･)ちらっ
プロローグ,行商人アルビン,村人, >>43　10人目！クララさん、いらっしゃい～。
プロローグ,行商人アルビン,村人,クララさん、シチューできてますよ。壁から出てきてください。どうぞ～シチューの具は牛肉とにんじん。他の具材は調達できなかったんだ。あっ昨日のキノコ残ってるから入れよう。お腹が光ったり目からビームが出たりするから人間ツリーになれるよー。リーザにはシャンメリー。他は赤ワイン。あとはオットーのパンがあれば完璧だ！オットーのケーキうまいけどさー、パンも焼いてくれー。
プロローグ,司書クララ,村人,アルさん、シチューありがとう！まだ図書館のお仕事中なので、宿に戻ったら頂きます♪近くの村が男性禁止っぽかったので、ここは女性禁止だったらどうしよう･･･と思いつつ、入っちゃったｗ
プロローグ,司書クララ,村人,■1 21時から25時くらい。鳩飼ってるけど、昼間はあまりこれないかな。■2 仮2200、本2245■3 みんなが楽しめればなんでもｗ□4 私も愛してるわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！
プロローグ,羊飼いカタリナ,人狼,光る門松・・・飾り付けられた鏡餅・・・
プロローグ,負傷兵シモン,狩人,アルビン、シチューありがとう。愛するクララが来た。これは出さないといけないな。【クリスマス再開のお知らせ】
プロローグ,パン屋オットー,村人,今夜には始まるね。みんなよろしく。リクエストがあったから、パンを焼いてみたよ。つ【ウェディングケーキ形パン】つ【ハート形パン】つ【アルビン形パン（彼女募集中！）】気に入ってくれると嬉しいな。シチューもいただくね。あったかくて美味しいよ。
プロローグ,青年ヨアヒム,狂人,人が増えてきてうれしいな。あらためまして皆よろしくね。ってシモン！？なにちゃっかりカップル成立しちゃってるのさ？？
プロローグ,青年ヨアヒム,狂人,リーザ・カタリナ、僕の胸はいつでもきみたちのためにあけてあるよ。いつでも飛び込んでおいで！！シチューとパンいただきまーす。帰り道にとってきたから、よかったらデザートにどうぞ。つ【りんご】＞オットーアップルパイ食べたいなぁ･･･
プロローグ,少年ペーター,霊能者,こんばんは。
プロローグ,羊飼いカタリナ,人狼,■1.不定期でほんわり現れるのです■2.仮22:00、本22:30くらい？■3.とくにないですよー□4.サンタさん私にも愛を叫んでくれる彼氏を下さい！光る門松とか飾り付けられた鏡餅仲間にはなりたくなぁぁぁあぁぁぁい！！！
プロローグ,パン屋オットー,村人,ヨアヒム、じゃあそのりんご使わせてもらうよ。つ【ヨアップルパイ（この男危険。触れるな、とデコレーションされている）】ペタ、こんばんは～。
プロローグ,パン屋オットー,村人,カタリナ>>54彼氏が出来たら、お祝いのケーキを焼いてあげるね。男はいっぱいいるから、選びたい放題だと思うよ。ちょっとロリコンが多いけど、カタリナなら大丈夫だよ。『ねぇ、お兄ちゃん？』なんて言ってたらみんな落とせるよ！頑張って！
プロローグ,仕立て屋エルナ,村人,クリスマスかぁ・・・
プロローグ,羊飼いカタリナ,人狼,[上目使いで目をうるうるさせながら]ねぇ、お兄ちゃん？
プロローグ,青年ヨアヒム,狂人,カタリナ！僕と「ウェディングケーキ形パン」に入刀しよう！！
プロローグ,青年ヨアヒム,狂人,と思ったらエルナもキター！！そしてヨアップルパイが絶品すぎる！オットーありがとうっ
プロローグ,仕立て屋エルナ,村人,■1.不定期になるけど、夜明けにはなるべくいるようにするよ。鳩も使えるからね■2.そこはみんなにあわせるよ■3.とくにないよ
プロローグ,仕立て屋エルナ,村人,□クリスマスなんて嫌いだばか野郎！！！浮かれてる暇があったら服の一枚でも買っていきな！！ふぅ・・・
プロローグ,行商人アルビン,村人,人が増えてるー！カタリナ、ペーター、エルナ、いらっしゃい～。よろしくね。外は寒かったでしょ。ストーブの近くの席においでー。シモンとクララさんはストーブから遠くても全然問題なさそうだー。
プロローグ,青年ヨアヒム,狂人,ペーター挨拶遅れてごめん！こんばんは。僕と一緒に遊ばない？
プロローグ,仕立て屋エルナ,村人,いやー寒いね。雪やらあられやら降ってきて嫌になるよ。服の仕立てがしたいがヤル気がそがれててねぇ。ありがたくストーブによらせてもらうよ
プロローグ,行商人アルビン,村人,よく見たら、ごはんも増えてる！？オットー、パンありがとう。まずは【ハート形パン】もらうねー。誰か！【アルビン形パン（彼女募集中！）】受け取ってくれないか。で、一緒に【ウェディングケーキ形パン】食べよう！
プロローグ,羊飼いカタリナ,人狼,ぁ、挨拶が遅れました。みなさんこんばんはです。仲良くしてくださ！ヨアさん「ウェディングケーキ形パン」に入刀します！・・・ん？なんかヨアップルパイ文字が・・・ 
プロローグ,旅人ニコラス,村人,にょきっとね。
プロローグ,青年ヨアヒム,狂人,ニコラスこんばんはー。僕とカタリナのウェディングケーキ形パンへの入刀を見届けて！
プロローグ,旅人ニコラス,村人,性別不詳も参加していいって聞いたから、お邪魔させてもらったヨ。
プロローグ,旅人ニコラス,村人,おお、今日はちょうど結婚式だったノ？　ケーキじゃなくてパンってところがなんだか珍しいけどネ。今残念ながらちょうどよいお祝いの品がないから、代わりにこれでも…つ[棺桶型のクッキー]
プロローグ,旅人ニコラス,村人,■1.不定期でひょっこり生えマス■2.仮22:00、本22:30がいいですネ■3.とくにないヨ□4.旅人という職業を世間に認めてもらいタイ
プロローグ,シスターフリーデル,村人,コソコソ・・・・
プロローグ,シスターフリーデル,村人,■1,夕方から23時くらい■2,仮22時本22半■3,ありませんわ□4,ここからさりたいと思いますね・・・
プロローグ,シスターフリーデル,村人,神父様キリスト教徒ですよね・・・・それはないですわ
プロローグ,村娘パメラ,人狼,今日は～特別な日～♪愛が～溢れそうな日～♪きっと～私に～奇跡が～起こります～♪
プロローグ,村娘パメラ,人狼,■1.不定期です。でも夜は寝ます。■2.21:30／22:30位でしょうか？■3.皆さんに合わせます。□4.クリスマスにはケーキを食べたいです。２人以上で。
プロローグ,旅人ニコラス,村人,なんだか少しずつ人が増えてきたネ。女性も増えたようで、男性陣が喜びそうダ。
プロローグ,シスターフリーデル,村人,色欲は７つの大罪のうちの１つです色欲に溺れないでくださいね？
プロローグ,行商人アルビン,村人,ニコラス、シスター、パメラ、いらっしゃい～16人だ！うれしいなー！よろしくねー。
プロローグ,青年ヨアヒム,狂人,パメラとフリーデルこんばんは。満員御礼、だね！うれしいな。･･･フリーデルもしかしてそれ僕のこと言ってる？僕、大食いだし怠け者だし女の子大好き･･･こんな僕はだめですか？
プロローグ,少女リーザ,占い師,ただいまー。カタリナお姉ちゃん、ペーターくん、エルナお姉ちゃん、ニコラスさん、フリーデルお姉ちゃん、パメラお姉ちゃんこんばんは。みんなそろってるねー。クララお姉ちゃんはシモンお兄ちゃんが大きなこえでよんでたからきてくれたのかなあ。カタリナお姉ちゃんとエルナお姉ちゃんとパメラお姉ちゃんはクリスマスがきらいなの？ペーターくんとフリーデルお姉ちゃんはすきだよね？ニコラスさんははえてきたのかあ。へんなの。
プロローグ,村娘パメラ,人狼,アルビンさん、そして皆さん、これから約一週間よろしくお願いします。クリスマスみたいに楽しい村になれば良いですね～
プロローグ,仕立て屋エルナ,村人,おや、みんな揃ったのかい。にぎやかになるね。クリスマスなんて忘れるくらい騒ごうじゃないか
プロローグ,少女リーザ,占い師, オットーさんの【ハート形パン】とニコラスさんの[棺桶型のクッキー]もらうね。みんなあつまったねー。たのしいパーティがひらけそうだなー。たのしみー。そういえばママが「この村はリア充共を恨む若者が多すぎるわ・・・うちの娘に悪い影響を与えないかしら」って言ってたんだけど、『りあじゅう』ってなんだろ？ 
プロローグ,少女リーザ,占い師,あ、そうだ！ちょっとはやいけどみんなにクリスマスプレゼントをもってきたんだよー。ぜんぶリズが描いたの。つ[芸術的な似顔絵][写実的な似顔絵][独創的な似顔絵][劇画的な似顔絵][前衛的な似顔絵][神々しい似顔絵][凄まじい似顔絵][超現実的な似顔絵][革命的な似顔絵][古風な似顔絵][松本零士風の似顔絵][恐ろしい子な似顔絵][まゆたんな似顔絵][人間をやめていそうな似顔絵][アメコミな似顔絵]
プロローグ,青年ヨアヒム,狂人,みんなそろったし、まったりしようよ。リーザとペーターもいるから健全なものを用意してみたよ！ニコラスのクッキーと一緒にどうぞ。つ【ジンジャーミルクティー】ハチミツ入れてもおいしいかもー。女の子は冷え性の子が多いからね。これで手先足先まであったまるといいよ。それでも寒ければいつでも僕の胸に･･･
プロローグ,司書クララ,村人,ただいまー♪やっとアルさんのシチューたべられる！もぐもぐｗ女の子もたくさんきて、楽しげな雰囲気になってきたね！みんな、よろしくね～！だーりん、お・ま・た・せｖ
プロローグ,旅人ニコラス,村人,すごくにぎやかな村ですネ。ここなら楽しくクリスマスを過ごせそうデス。
プロローグ,青年ヨアヒム,狂人,リーザ似顔絵ありがとね。もちろん僕の似顔絵はその[神々しい似顔絵]だよね？そっくりだよー！お礼にこれあげる！ね。つ【ビーズのブレスレット】手作りさ～僕こう見えて手先は器用なんだ。このブレスレットは、リーザを怖いことから守ってくれるお守りになるよ。
プロローグ,行商人アルビン,村人,ヨアヒム＞カタリナがヨアップルパイの文字見てかたまってるよ・・・シスター、ここを去りたくなるのは寒いからだよ！隅っこじゃなくてストーブの近くにどうぞー。ニコラスとパメラもー。リーザ＞[前衛的な似顔絵]をもらうよー。なでなで♪
プロローグ,旅人ニコラス,村人,私のは[恐ろしい子な似顔絵]デスネ。とってもうれしいデス。ありがとーデス。
プロローグ,仕立て屋エルナ,村人,へーリーザは絵をかくのかい。人間をやめていそうなのが誰なのか気になるところだ。ミルクティーありがたくいただくよ。胸には絶対に飛び込まないがね！！
プロローグ,司書クララ,村人,リーザちゃん、素敵なプレゼントありがとう！[革命的な似顔絵]もらっちゃうね。ダーリンがりりしくて描かれてて、とっても素敵ｖお礼に私もリーザちゃんに買ってきたお土産を。つ【くまサンタのぬいぐるみ（なぜかトーマスにそっくり）】
プロローグ,司書クララ,村人,さて。夜が明ける前に、私のもってる古文書に書いてある内容をみんなにも見せておこうかな。【Stop!!　突然死】毎日、夜明け(この村なら23:15)までに一度も発言がないと、突然死しちゃうんだって。もちろんどうしようもない事情もあるかもしれないけど、みんなで仲良く健康第一でがんばろうね！あ、さっき書かなかったけど、■３　毎日夜明け何か強制的にCO！とか楽しいかもねｗ
プロローグ,司書クララ,村人,【どんな役職を希望したかは、内緒なの】希望が必ず通るとは限らないけど……通らないとは限らない以上、伏せるのがルールみたい。村の入り口にも書いてあるから、一旦確認してみてね。【初参加でも、村が終わるまでは内緒だよ】最初はみんな村人希望だから、初参加COも、役職希望の話に抵触しちゃうの。大変かもしれないけど、「初参加には見えなかったよ！」は、最大の誉め言葉よね。
プロローグ,青年ヨアヒム,狂人,はっカタリナ･･･！僕そんな危険じゃないよ。信じてよう＞＜僕はきみも羊も大事にする心優しい青年さっ
プロローグ,行商人アルビン,村人,リーザ＞明日もリーザにぴったりのお土産持って帰るよー。ありがとう。ペーターも時間あったらおいでー。お土産のリクエストない？余裕があったら答えてくれるとうれしいなー。■1.参加時間（コアタイム）■2.仮決定／本決定時間の希望
プロローグ,司書クララ,村人,それから、この国では、>>19(半角【>】を二つ)って感じでアンカーを使えるのよね。リンクは最新日の発言にしか効かないけど、付けておくと、どの発言に対する内容なのか分かりやすくていいみたい。元の発言者名(名前や略称)や、必要なら簡単な引用も添えておくと、相手にも分かりやすいよね。例えば……オットー>>55　危険そうだけど、魅力的なパンねｗつまみぐいしちゃいたいかもｗ……こんな感じでね！
プロローグ,青年ヨアヒム,狂人,＞クララフフフ･･･僕はこう見えて文学青年(?)な一面もあるんだ。古文書の内容、よくよーく理解したよ！クララが紹介してくれる本はいつも参考になるなぁ。
プロローグ,司書クララ,村人,あと、よく使われる記号や略語の意味も、簡単に貼っとかなきゃね。●：占い第一希望　○：占い第二希望▼：処刑第一希望　▽：処刑第二希望★：質問　☆：回答　▲：襲撃先【】：重要事項(各種宣言、決定確認など)　■：議題　□：ネタ議題、任意回答議題　@：残喉(残り発言回数)　CO：カミングアウト　GJ：グッジョブ
プロローグ,ならず者ディーター,村人,おんにゃのこたちｷﾀｰ!!っと!みんなこんばんわだな。すっかり酔いつぶれていたぜ･･･。クララグッジョブ。俺は自分から本読まないから助かるぜ～。【一緒にクリスマス過ごす女の子募集中】
プロローグ,少女リーザ,占い師,えへへ、よろこんでもらえたみたいでうれしいなあ。ヨアヒムお兄ちゃんの【ジンジャーミルクティー】と【ビーズのブレスレット】もらうね。お守りかあ・・・ごりやくあるといいなあ。クララお姉ちゃんのくまさんももらうね。ちょっとへんなくまさんだけど、たいせつにするよ。アルビンお兄ちゃんは明日もおみやげくれるの？うれしいけど「自分に貢いでくるような男は下心あり」ってママに言われてるからちょっとようじんするのー。
プロローグ,司書クララ,村人,他に何か解らない事があれば、素直にみんなに聞いてみたり、【まとめサイト：http://wolfbbs.jp/】の解説や初心者向け講座を参照してみるといいかもね。おしゃべり苦手な人がいたら、皆で話しかけたりして助け合っていこうね！と、古文書はこれで終わりみたい。他に何かあったら補足お願い！色々書いてあるけど、要約しちゃうと、とにかくみんなで楽しむことが第一ってことだね！盛り上がっていこうね！！
プロローグ,少女リーザ,占い師,クララお姉ちゃんすごーい！いろんなことをしってるんだね！いいなあ、リズもクララお姉ちゃんみたいになりたいなあ。あ、ディーターおじちゃんこんばんは。ここには「かれしぼしゅーちゅー」とか「かのじょぼしゅーちゅー」っていう人が多いんだね。
プロローグ,ならず者ディーター,村人,俺もリザちゃんにおみやげあるんだぜ。ほら、昨日帰りに見つけたマフラーだ。似合うと思って買ったんだが･･･。受け取ってくれるかな??
プロローグ,青年ヨアヒム,狂人,クララ、先走ってごめん。今度こそ古文書最後まで読んだから！じゃあ僕ちょっとお風呂でも入ってこようかな。みんなまたあとでねー。
プロローグ,少女リーザ,占い師,ディーターおじちゃんありがとう。このマフラーかわいいねー！・・・なんだかリズ、みんなからもらってばっかりだなあ。おかえしがにがお絵くらいしかよういできなくてごめんね。そうだ、ディーターおじちゃんにこれあげるー。まだうけとってくれてなかったよね？つ[人間をやめていそうな似顔絵]
プロローグ,行商人アルビン,村人,クララさん、古文書紹介ありがとー。勉強が苦手だった僕にもわかりやすかったよー。リーザ、下心なんてないよ！（彼女ほしい。彼女ほしい。彼女ほしい）
プロローグ,ならず者ディーター,村人,リザちゃんありがたく受け取るぜ!って怖いじゃないかぁぁぁ!!!!!アル、なんか顔に書いてあるが･･･。
プロローグ,仕立て屋エルナ,村人,クララお疲れさん。アルはなんだか鬼気迫る感じがするねぇ。なんだか彼女がほしくてたまらないって感じだ
プロローグ,少女リーザ,占い師,ヨアヒムお兄ちゃん、いってらっしゃーい。・・・アルビンおじちゃん、すごく怖い顔してるよ・・・？ディーターおじちゃんのにがお絵、自信作なんだけどなあ。きにいってくれなかったのかなあ？エルナお姉ちゃんにもはい、あげる！つ[写実的な似顔絵]
プロローグ,司書クララ,村人,あら、アルさんてば。アルさんみたいに素敵なお兄様には、すぐ素敵な彼女できると思うのよね～。これでも読んでみる？？つ【クリスマスまでに彼女をつくる１０の方法】【女の子が喜ぶ！イルミネーションスポットベスト100】【パン○ェッタ・ジ○ーラモに学ぶ、恋愛の極意】
プロローグ,司書クララ,村人,あ、ペーターにもお土産かってきたの、忘れてた～！はい、ほしがってた絵本だよ！つ【楽天家ゲルトとゆかいな仲間たち】
プロローグ,シスターフリーデル,村人,最近寒くなってきましたね皆さんお体に気をつけてくださいね
プロローグ,仕立て屋エルナ,村人,おっリーザありがとうよ。じゃあお礼にいいものをあげようか。【クリスマス仕様のリボン】【防犯ブザー】どっちも必ず身に着けておくんだよ。悪いものからまもってくれるかもしれないからね
プロローグ,シスターフリーデル,村人,クリスマスも近いですしイースターエッグを作りましたわ皆さん思い思いの場所に隠して他の人のイースターエッグ探してみてくださいね
プロローグ,神父ジムゾン,人狼,はぁ、はぁ、今日も今日とてお勤め中・・・。休憩中にちょっと村でも覗いてみますか・・・・・・って、女子が増えてるぅううううぅうぅぅッ！！！
プロローグ,神父ジムゾン,人狼,くくくくりすます・・・くり・・すま・・すなんて・・・嫌いだぁああっ！で、でも女性の皆さんのことは嫌いではないです。皆さまご機嫌うるわしゅう、「スマイルマート」店員ジムゾンと申します。えと、お近づきのしるしにこれでも。つ【スマイルマート特製ほっかいろ】あったまりますよ。
プロローグ,羊飼いカタリナ,人狼,あら、なんだか賑やかになって楽しそうですねｗみなさん改めてこんばんは♪へぇぇ！リザちゃんは絵の才能があるのね！えーと、ちなみに私のはどの絵なのかな？
プロローグ,神父ジムゾン,人狼,クララさんは色々とご教示いただきまして、ありがとうございます。あなたに幸あれ。フリーデルさんも信仰深そうで何よりです。え？ボク？ボクは神父でも新婦でもありませんよ、ただのコンビニ店員ですから。協会とかクリスマスとかケーキとかシャンペンとかキャンドルディナーとかホテルの鍵とか見たこともありません。・・・。
プロローグ,シスターフリーデル,村人,神父様!?そんな色欲に溺れるようなことはいけませんよ!それでも神父ですか？!
プロローグ,少女リーザ,占い師,エルナお姉ちゃん、ありがとう！せっかくだし、みんなからもらったものつけてみようかな。Ｅ．緑色のリボン（アルビン）Ｅ．クリスマス仕様のリボン（エルナ）Ｅ．マフラー（ディーター）Ｅ．ビーズのブレスレット（ヨアヒム）Ｅ．くまサンタのぬいぐるみ（クララ）Ｅ．防犯ブザー（エルナ）どうかな？
プロローグ,ならず者ディーター,村人,リザちゃん超可愛いぜ!!似合ってるよ。ところで今夜は俺の家に来ないか?可愛･･･いや、俺の家なら夜更かしできるぞ。
プロローグ,行商人アルビン,村人,こそこそっ　クララさん、ぴったりの本ありがとう。借りてくねー。みんなに僕の心を読まれてる気がするなー。どうして？
プロローグ,羊飼いカタリナ,人狼,クララさん古文書ありがとう～！とっても参考になりました！みんなで楽しく盛り上がれるといいなぁ♪
プロローグ,シスターフリーデル,村人,まったく・・・・なんでこんな人が神父に・・・・いいですか？クリスマスというのはキリスト様の生誕を祝うものですなんでそんな祭り事扱いするんですか!主よ愚かな者達の罪を許したまえ
プロローグ,少女リーザ,占い師,・・・？フリーデルお姉ちゃん、イースターエッグはイースターだけじゃなくてクリスマスでもさがすものなの？まあいいや。せっかくだし、やってみるね。どこにかくそうかなー・・・カタリナお姉ちゃんの絵はねぇ・・・これ！つ[芸術的な似顔絵]・・・あ！わーい、てんいんさんだあ！【スマイルマート特製ほっかいろ】、もらってもいい？そうそう、あとこれあげるね！つ[劇画的な似顔絵]
プロローグ,神父ジムゾン,人狼,フリーデルさん、ボクは色欲とは無縁なのです！そういや今日うちの店にひと組の男女が来て「みかぁ、今日泊っててもいいだろー？」「やだあ、まーくぅん、だめだよぅ～」等と語尾を伸ばしまくっていたのですが、ああいうカップルはしょっぴいてもいい気がしたジムゾン若干28歳なのです。決してうらやましくないのです。ついつい彼らが頼んだ肉まんをまだ蒸しきってない物から渡してしまったのはただのドジっ子属性なのです。
プロローグ,羊飼いカタリナ,人狼,わー！ステキな絵をありがとう！！私もリザちゃんにプレゼント持ってきたよー！はい、どうぞ♪つ【ロリコン下心センサー】
